match_date_time,garment_sku,location_id
2025-04-16 13:48:56,UNCTXE4XL,R3G75-S-BT1
2025-04-16 13:49:00,UNCTXE3XL,R3G75-S-AT1
2025-04-16 13:49:45,UNCTXE3XL,R3G75-N-AT2
2025-04-16 13:50:55,UNCTXE2XL,R3E75-N-BT3
2025-04-16 13:51:05,UNCTXE0XS,R3E75-N-AT1
2025-04-16 13:50:58,UNCTXE0XL,R3E75-N-BT2
2025-04-16 13:51:09,UNCTXE00S,R3E75-N-AT2
2025-04-16 13:51:12,UNCTXE00M,R3E75-N-AT3
2025-04-16 13:51:02,UNCTXE00L,R3E75-N-BT1
2025-04-16 13:49:17,UNCTXD4XL,R3G75-N-DT1
2025-04-16 13:49:21,UNCTXD3XL,R3G75-N-CT1
2025-04-16 13:47:47,UNCTXD2XL,R3F75-S-DT3
2025-04-16 13:47:57,UNCTXD0XS,R3F75-S-CT1
2025-04-16 13:47:50,UNCTXD0XL,R3F75-S-DT2
2025-04-16 13:48:01,UNCTXD00S,R3F75-S-CT2
2025-04-16 13:48:04,UNCTXD00M,R3F75-S-CT3
2025-04-16 13:47:54,UNCTXD00L,R3F75-S-DT1
2025-04-16 13:49:14,UNCTXC4XL,R3G75-N-DT2
2025-04-16 13:49:24,UNCTXC3XL,R3G75-N-CT2
2025-04-16 13:46:23,UNCTXC2XL,R3D75-S-DT3
2025-04-16 13:46:34,UNCTXC0XS,R3D75-S-CT1
2025-04-16 13:46:27,UNCTXC0XL,R3D75-S-DT2
2025-04-16 13:46:37,UNCTXC00S,R3D75-S-CT2
2025-04-16 13:46:40,UNCTXC00M,R3D75-S-CT3
2025-04-16 13:46:30,UNCTXC00L,R3D75-S-DT1
2025-04-16 13:48:32,UNCTXB4XL,R3G75-S-DT2
2025-04-16 13:48:42,UNCTXB3XL,R3G75-S-CT2
